No.,Date,Athlete,Country,Hill,Location,Metres,Yards,Feet
1,22 November 1808,Olaf Rye,Norway  Denmark,Eidsberg church,"Eidsberg, Norway",9.5,10.4,31
2,8 March 1868,Sondre Norheim,Norway,Hauglibakken,"Brunkeberg, Norway",19.5,21.3,64
3,12 February 1879,Olaf Haugann,Norway,Kastellbakken,"Oslo, Norway",20,21.9,66
4,1881,Sveinung Svalastoga,Norway,Kastellbakken,"Oslo, Norway",22,24.1,72
5,1886,Johannes Nordgard,Norway,Flatdalbakken,"Seljord, Norway",26,28.4,85
6,1891,Mikkjel Hemmestveit,Norway,McSorley Hill,"Red Wing, United States",31.1,34,102
7,1893,Torjus Hemmestveit,Norway,McSorley Hill,"Red Wing, United States",31.4,34.3,103
8,1897,Svein Solid,Norway,Hegnibakken,"Morgedal, Norway",31.5,34.4,103
9,1899,Asbjørn Nilssen,Norway,Solbergbakken,"Bærum, Norway",32.5,35.5,107
11,1900,Olaf Tandberg,Norway,Solbergbakken,"Bærum, Norway",35.5,38.8,116
12,1902,Nils Gjestvang,Norway,Gustadbakken,"Geithus, Norway",38.5,42.1,126
13,1902,Nils Gjestvang,Norway,Gustadbakken,"Geithus, Norway",41,44.8,135
14,24 January 1909,Oscar Gundersen,Norway,Chippewa Falls Ski Jump,"Chippewa Falls, United States",42.1,46,138
15,1909,Harald Smith,Norway,Trampolino Campo Smith,"Bardonecchia, Kingdom of Italy",43,47,141
16,28 February 1909,Harald Smith,Norway,Bolgenschanze,"Davos, Switzerland",45,49.2,148
17,19 February 1911,Anders Haugen,United States,Wolverine Hill,"Ironwood, United States",46.3,50.6,152
18,1912,Gunnar Andersen,Norway,Gustadbakken,"Geithus, Modum, Norway",47.5,52,156
19,16 February 1913,Ragnar Omtvedt,United States,Wolverine Hill,"Ironwood, United States",48.2,52.7,158
20,16 February 1913,Ragnar Omtvedt,United States,Wolverine Hill,"Ironwood, United States",51.5,56.3,169
22,7 February 1915,Reidar Amble Ommundsen,Norway,Vikkollen,"Mjøndalen, Norway",54,59.1,177
23,18 February 1916,Ragnar Omtvedt,United States,Howelsen Hill,"Steamboat Springs, United States",58.5,64,192
24,1917,Henry Hall,United States,Howelsen Hill,"Steamboat Springs, United States",61.9,67.7,203
25,1918,Henry Hall,United States,Howelsen Hill,"Steamboat Springs, United States",62.2,68,204
26,1919,Anders Haugen,United States,Haugen Hill,"Dillon, United States",64.9,71,213
27,29 February 1920,Anders Haugen,United States,Haugen Hill,"Dillon, United States",65.2,71.3,214
28,1921,Henry Hall,United States,Nels Nelsen Hill,"Revelstoke, Canada",69.8,76.3,229
29,4 February 1925,Nels Nelsen,Canada,Nels Nelsen Hill,"Revelstoke, Canada",73.1,79.9,240
30,1930,Adolph Badrutt,Switzerland,Bernina-Roseg-Schanze,"Pontresina, Switzerland",75,82,246
31,1931,Birger Ruud,Norway,Odnesbakken,"Odnes, Norway",76.5,73.7,251
32,24 February 1931,Sigmund Ruud,Norway,Bolgenschanze,"Davos, Switzerland",81.5,89.1,267
